Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,61000.00,36.25,40.00,28.10,29.35,29.50,29.35,27931.00,596640.75,313.90,550095.00,-22120.00,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,50900.00,-,-,-,7571.90,7571.90,7478.80,-,-,-,280.00,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,56100.00,2549.95,2614.65,2549.95,2609.25,2609.25,2331.65,8.00,164.33,7.25,1295.00,-,58274.65
BANKNIFTY,12-Nov-2025,25-Nov-2025,CE,62400.00,17.95,18.00,11.00,11.80,11.00,11.80,242.00,5286.34,1.06,17535.00,385.00,58274.65
BANKNIFTY,12-Nov-2025,30-Dec-2025,CE,55200.00,3799.75,3799.75,3799.75,3799.75,3799.75,3645.15,1.00,20.65,1.33,245.00,-,58274.65
BANKNIFTY,12-Nov-2025,30-Dec-2025,CE,60500.00,342.05,360.70,308.35,313.95,310.00,313.95,1149.00,24464.72,134.65,31080.00,11550.00,58274.65
BANKNIFTY,12-Nov-2025,30-Dec-2025,CE,52600.00,6231.15,6231.15,6231.15,6231.15,6231.15,6231.15,1.00,20.59,2.18,35.00,35.00,58274.65
BANKNIFTY,12-Nov-2025,30-Dec-2025,CE,57100.00,2107.75,2113.85,2107.75,2111.80,2113.80,2111.80,3.00,62.17,2.21,630.00,-35.00,58274.65
BANKNIFTY,12-Nov-2025,30-Dec-2025,CE,58400.00,1169.20,1280.35,1169.20,1185.60,1170.05,1185.60,110.00,2295.03,46.63,2765.00,1260.00,58274.65
BANKNIFTY,12-Nov-2025,30-Dec-2025,CE,59500.00,692.00,696.05,611.35,633.85,620.00,633.85,1067.00,22465.82,245.54,54215.00,4340.00,58274.65
BANKNIFTY,12-Nov-2025,30-Dec-2025,CE,51800.00,7007.15,7007.15,6976.10,6991.65,6976.10,6991.65,2.00,41.15,4.89,35.00,35.00,58274.65
